FID_A1,FID_1,Count,Length,Area,Cell_Index,Mesh_Name,FID_SGHUAV,Assigned_c,Shape_Leng,Shape_Area
1,0.0,6.0,46.2616652097,128.929643598,0.0,A1,3037,HERB01,0.379399999976,0.00737646003006
1,0.0,6.0,46.2616652097,128.929643598,0.0,A1,3039,FARMLAND01,1.92139186924,0.0646442851826
1,0.0,6.0,46.2616652097,128.929643598,0.0,A1,3082,FARMLAND01,45.4393186333,26.489290066
1,0.0,6.0,46.2616652097,128.929643598,0.0,A1,3083,SHRUB01,3.55000000075,0.357952819819
1,0.0,6.0,46.2616652097,128.929643598,0.0,A1,3084,FARMLAND01,35.3428000081,14.1668501107
1,0.0,6.0,46.2616652097,128.929643598,0.0,A1,3085,FARMLAND01,19.7497577467,5.05110221408
1,0.0,6.0,46.2616652097,128.929643598,0.0,A1,3130,FARMLAND01,35.6047196128,7.01962643624
1,0.0,6.0,46.2616652097,128.929643598,0.0,A1,3131,FARMLAND01,60.915501844,75.7586867103
1,0.0,6.0,46.2616652097,128.929643598,0.0,A1,3133,FARMLAND01,0.81200104443,0.0145470051496
2,1.0,5.0,44.1457837572,101.547679354,1.0,A1,3031,HERB02,2.58799343908,0.10098703494
2,1.0,5.0,44.1457837572,101.547679354,1.0,A1,3033,BARELAND01,5.02940000035,0.741902340885
2,1.0,5.0,44.1457837572,101.547679354,1.0,A1,3035,BARELAND01,32.1097999997,11.4473064577
2,1.0,5.0,44.1457837572,101.547679354,1.0,A1,3036,HERB01,30.2395268765,10.9247121912
2,1.0,5.0,44.1457837572,101.547679354,1.0,A1,3037,HERB01,33.9518000018,21.2300360589
2,1.0,5.0,44.1457837572,101.547679354,1.0,A1,3081,HERB01,25.5923082431,19.0472328892
2,1.0,5.0,44.1457837572,101.547679354,1.0,A1,3082,FARMLAND01,24.9326646384,5.4939167656
2,1.0,5.0,44.1457837572,101.547679354,1.0,A1,3083,SHRUB01,37.0788587791,17.0291054113
2,1.0,5.0,44.1457837572,101.547679354,1.0,A1,3084,FARMLAND01,7.23740000091,0.954950930584
2,1.0,5.0,44.1457837572,101.547679354,1.0,A1,3128,HERB01,0.98818300339,0.0145269893382
2,1.0,5.0,44.1457837572,101.547679354,1.0,A1,3129,BARELAND01,15.8425706255,5.82544406129
2,1.0,5.0,44.1457837572,101.547679354,1.0,A1,3130,FARMLAND01,18.1043259011,4.87560911502
2,1.0,5.0,44.1457837572,101.547679354,1.0,A1,3172,HERB01,13.0408337353,3.86156412056
