FID_A6,FID_1,Count,Length,Area,Cell_Index,Mesh_Name,FID_SGHUAV,Assigned_c,Shape_Leng,Shape_Area
470,4312.0,6.0,42.0014102955,105.242808133,469.0,A6,53,unclassified,39.7833010161,97.7448913944
471,4313.0,5.0,40.0,100.0,470.0,A6,53,unclassified,39.4481999986,97.2409999929
472,4314.0,5.0,40.0,100.0,471.0,A6,53,unclassified,39.4481999986,97.2409999929
473,4315.0,5.0,40.0,100.0,472.0,A6,53,unclassified,29.2559999991,47.6860139891
478,4320.0,7.0,44.7595689424,122.562290291,477.0,A6,53,unclassified,47.4000723932,95.1610220256
478,4320.0,7.0,44.7595689424,122.562290291,477.0,A6,72,unclassified,29.5919293099,27.4005728492
479,4321.0,5.0,40.0,100.0,478.0,A6,53,unclassified,40.0,100.0
480,4322.0,5.0,40.0,100.0,479.0,A6,53,unclassified,40.0,100.0
481,4323.0,5.0,40.0,100.0,480.0,A6,53,unclassified,40.0,100.0
482,4324.0,5.0,40.0,100.0,481.0,A6,53,unclassified,29.8078000005,49.0390000027
485,4327.0,6.0,48.6805230872,151.514691944,484.0,A6,72,unclassified,48.6805615722,151.514713542
486,4328.0,5.0,40.0,100.0,485.0,A6,53,unclassified,11.3124000002,0.869167971189
486,4328.0,5.0,40.0,100.0,485.0,A6,72,unclassified,43.4903999958,96.6562390178
486,4328.0,5.0,40.0,100.0,485.0,A6,73,unclassified,12.3263999969,2.47459301102
487,4329.0,5.0,40.0,100.0,486.0,A6,53,unclassified,29.4136000015,25.5494902372
487,4329.0,5.0,40.0,100.0,486.0,A6,72,unclassified,12.8547999952,6.00547077872
487,4329.0,5.0,40.0,100.0,486.0,A6,73,unclassified,40.1043999959,68.4450389841
488,4330.0,5.0,40.0,100.0,487.0,A6,53,unclassified,42.0621999986,70.3884086005
488,4330.0,5.0,40.0,100.0,487.0,A6,73,unclassified,24.2235999983,29.6115913995
489,4331.0,5.0,40.0,100.0,488.0,A6,53,unclassified,40.0,100.0
490,4332.0,6.0,46.5546648207,136.210146302,489.0,A6,53,unclassified,33.5364426047,56.9004179898
490,4332.0,6.0,46.5546648207,136.210146302,489.0,A6,74,unclassified,9.69402398912,2.30246532043
491,4333.0,5.0,47.9849119899,127.609589939,490.0,A6,72,unclassified,47.984770954,127.608774241
