Cell_Index,Assigned_c,Sum of Shape_Area,Area
0.0,HERB01,95.679940997495,115.890049132
0.0,HERB03,15.414017531652,115.890049132
0.0,HERB02,4.79629336014,115.890049132
1.0,HERB01,67.227703407046,92.0545297861
1.0,HERB03,5.97107529046,92.0545297861
1.0,HERB02,18.40344305574,92.0545297861
1.0,WATER02,0.451922459587,92.0545297861
2.0,HERB01,50.78704068746996,95.0325967232
2.0,HERB02,44.0934510167,95.0325967232
2.0,WATER02,0.151574385159,95.0325967232
3.0,HERB01,60.970676047259005,98.0106636649
3.0,HERB02,37.03932394313,98.0106636649
4.0,HERB01,46.66209495467999,97.5749164238
4.0,HERB02,50.912529692852004,97.5749164238
5.0,HERB02,66.26812966944401,90.8289426332
5.0,HERB01,24.56083175464,90.8289426332
6.0,HERB02,51.85137470604499,108.952548626
6.0,HERB01,56.963200729069996,108.952548626
6.0,WATER02,0.137450715314,108.952548626
7.0,HERB01,174.71236669334291,174.712744543
8.0,HERB01,65.455902451469,100.0
8.0,HERB02,34.1679221081,100.0
8.0,HERB03,0.376175440351,100.0
9.0,HERB01,80.84586417112,100.0
9.0,HERB02,18.43005213748,100.0
9.0,HERB03,0.724083691395,100.0
10.0,HERB01,85.16051198640982,100.0
10.0,HERB02,14.839488013504301,100.0
11.0,HERB01,82.637548909332,100.0
11.0,HERB02,17.3624510906,100.0
12.0,HERB01,90.50745059039001,100.0
12.0,HERB02,9.49254940957,100.0
13.0,HERB01,71.33072936699,100.0
13.0,HERB02,28.669270633009997,100.0
14.0,HERB01,35.789858857349,100.0
14.0,WATER02,8.73161217178,100.0
14.0,HERB02,55.479607748999996,100.0
15.0,HERB02,35.802173132706,135.732733398
15.0,HERB01,87.897273716538,135.732733398
15.0,WATER02,12.0317462097,135.732733398
16.0,HERB01,92.7656352863431,114.886988366
16.0,HERB02,22.120954913490397,114.886988366
17.0,HERB01,155.20277221169,170.451025302
17.0,HERB02,13.51625662772,170.451025302
17.0,WATER02,1.73254316051,170.451025302
18.0,HERB02,25.46222403864,100.0
18.0,HERB01,74.5377759613198,100.0
19.0,HERB02,55.983627371489995,100.0
19.0,HERB01,44.01637262855,100.0
20.0,HERB02,34.297452318573,100.0
20.0,HERB01,65.702547681445,100.0
21.0,HERB01,56.9343773534,100.0
21.0,HERB02,43.06562264664,100.0
22.0,HERB01,84.24565675257901,100.0
22.0,HERB02,15.754343247349,100.0
23.0,HERB01,98.25401696120399,100.0
23.0,HERB02,1.74598303886,100.0
24.0,HERB02,2.49930556864,100.0
24.0,HERB01,97.50069443131301,100.0
25.0,HERB01,99.94241233996999,100.0
25.0,HERB02,0.0575876599762,100.0
26.0,HERB01,99.27949086984,100.0
26.0,HERB02,0.720509130187,100.0
27.0,HERB01,96.429632317759,100.0
27.0,HERB02,3.57036768225,100.0
28.0,HERB01,140.61816860639098,140.618348746
29.0,HERB01,143.753208270361,145.295674914
29.0,HERB02,1.54224092497,145.295674914
30.0,HERB02,32.868202169884,130.614936608
30.0,HERB01,87.06140974565801,130.614936608
30.0,WATER02,10.6848459583,130.614936608
31.0,HERB01,93.4068762402,143.347773922
31.0,HERB02,43.2747248549,143.347773922
31.0,WATER02,6.66591133683,143.347773922
32.0,HERB01,53.087415254124,160.263270426
32.0,WATER02,32.97716809521,160.263270426
32.0,HERB02,74.19897110365,160.263270426
33.0,HERB01,65.588213548709,100.0
33.0,HERB02,34.411786451333,100.0
34.0,HERB01,72.25878298675299,100.0
34.0,HERB02,27.7412170132388,100.0
35.0,HERB02,79.73374468072609,100.0
35.0,HERB01,20.266255319269998,100.0
36.0,HERB02,98.043416288988,100.0
36.0,HERB01,1.956583710976,100.0
37.0,HERB01,20.000727639332,100.0
37.0,HERB02,79.99927236067,100.0
38.0,HERB01,86.53907314898,100.0
38.0,HERB02,13.460926850989999,100.0
39.0,HERB01,93.860997910424,100.0
39.0,HERB02,6.13900208957,100.0
40.0,HERB01,71.64042506145,100.0
40.0,HERB02,28.359574938599998,100.0
41.0,HERB01,60.99612344873171,100.0
41.0,HERB02,39.00455871004,100.0
42.0,HERB01,88.754656031608,100.0
42.0,HERB02,11.2446618096,100.0
43.0,HERB01,85.9481274018452,100.0
43.0,HERB02,14.0518725981,100.0
44.0,HERB02,4.08797149679,100.0
44.0,HERB01,86.11810346125401,100.0
44.0,HERB03,9.79392504196,100.0
45.0,HERB02,43.7994461654,100.0
45.0,HERB01,56.18548843469409,100.0
45.0,HERB03,0.0150653998916,100.0
46.0,HERB01,17.347918192457,100.0
46.0,BARELAND01,5.78975452125,100.0
46.0,HERB02,76.8623272863,100.0
47.0,HERB01,64.881049631305,100.0
47.0,HERB02,11.950070460165001,100.0
47.0,BARELAND01,23.1688799085,100.0
48.0,HERB01,114.121666805969,127.773495291
48.0,HERB02,9.84825792873,127.773495291
48.0,HERB03,2.55344762786,127.773495291
48.0,WATER02,1.24996001103,127.773495291
49.0,HERB01,126.70619978291315,136.203496954
49.0,HERB03,8.21519231102,136.203496954
49.0,WATER02,1.28176911146,136.203496954
50.0,HERB01,223.27060025603,235.523654405
50.0,HERB03,12.25211901689,235.523654405
51.0,HERB02,22.569753327857,150.075515547
51.0,HERB01,54.312379919351,150.075515547
51.0,BARELAND01,31.2319278988,150.075515547
51.0,WATER02,41.9600950925,150.075515547
52.0,HERB01,81.34025448829199,100.0
52.0,HERB02,12.992331860579998,100.0
52.0,WATER02,5.66741365117,100.0
53.0,HERB01,36.311333092249,100.0
53.0,HERB02,63.68866690766,100.0
54.0,HERB02,67.69401078432699,100.0
54.0,HERB01,32.3059892157,100.0
55.0,HERB01,45.464798007516,100.0
55.0,HERB02,54.535201992524996,100.0
56.0,HERB01,47.1494986242557,100.0
56.0,HERB02,52.850501375736,100.0
57.0,HERB01,83.02933075874,100.0
57.0,HERB02,16.9706692412,100.0
58.0,HERB02,0.253974588869,100.0
58.0,HERB01,99.74602541109999,100.0
59.0,HERB01,99.92009963049631,100.0
